학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
구천초등학교,초등학교,1932-10-10,공립,본교,경상북도 의성군 구천면 소보안계로 1616,경상북도교육청,경상북도의성교육지원청,36.35003075,128.4315478
월천초등학교,초등학교,1932-09-13,공립,본교,경상남도 거창군 거창읍 주곡로 207,경상남도교육청,경상남도거창교육지원청,35.71382296,127.9169681
목포제일중학교,중학교,1949-09-01,공립,본교,전라남도 목포시 삼학로 277,전라남도교육청,전라남도목포교육지원청,34.79613159,126.4069043
경기대명고등학교,고등학교,2002-03-25,공립,본교,경기도 수원시 권선구 수인로598번길 3-24,경기도교육청,경기도수원교육지원청,37.29601975,126.9399849
내수초등학교,초등학교,1917-11-24,공립,본교,충청북도 청주시 청원구 내수읍 마산1길 114-1,충청북도교육청,충청북도청주교육지원청,36.72690548,127.5368015
달성고등학교,고등학교,1973-05-08,공립,본교,대구광역시 서구 달구벌대로 1725,대구광역시교육청,대구광역시서부교육지원청,35.85893186,128.5553428
충북여자고등학교,고등학교,1975-03-06,사립,본교,충청북도 청주시 서원구 무심서로 377-2,충청북도교육청,충청북도청주교육지원청,36.62538218,127.4841669
동백초등학교,초등학교,1976-03-01,공립,본교,부산광역시 해운대구 좌동순환로357번길 6,부산광역시교육청,부산광역시해운대교육지원청,35.16401941,129.1812187
오창초등학교,초등학교,1920-04-13,공립,본교,충청북도 청주시 청원구 오창읍 팔결로 690,충청북도교육청,충청북도청주교육지원청,36.74127224,127.4574455
대일초등학교,초등학교,1988-12-27,공립,본교,경기도 성남시 중원구 금상로58번길 22,경기도교육청,경기도성남교육지원청,37.43846881,127.1641844
서울남부초등학교,초등학교,1985-10-08,공립,본교,서울특별시 관악구 남부순환로163길 14,서울특별시교육청,서울특별시동작관악교육지원청,37.48511944,126.9221838
광석중학교,중학교,1986-11-14,공립,본교,충청남도 논산시 광석면 광석로 56-3,충청남도교육청,충청남도논산계룡교육지원청,36.23858258,127.0813186
진주동명중학교,중학교,1967-09-18,사립,본교,경상남도 진주시 대신로 454-25,경상남도교육청,경상남도진주교육지원청,35.20257652,128.1186018
목상고등학교,고등학교,1920-06-01,공립,본교,전라남도 목포시 소영길 13,전라남도교육청,전라남도목포교육지원청,34.80571314,126.3949956
장안중학교,중학교,1969-11-11,공립,본교,서울특별시 중랑구 동일로 780,서울특별시교육청,서울특별시동부교육지원청,37.60077444,127.0809965
신천중학교,중학교,1975-11-14,공립,본교,서울특별시 송파구 백제고분로 11,서울특별시교육청,서울특별시강동송파교육지원청,37.51625001,127.0792834
