학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
대안여자중학교,중학교,1986-03-01,공립,본교,경기도 안양시 동안구 흥안대로223번길 46,경기도교육청,경기도안양과천교육지원청,37.3771591,126.9651002
대전하기중학교,중학교,2006-03-01,공립,본교,대전광역시 유성구 송림로48번길 6-30,대전광역시교육청,대전광역시서부교육지원청,36.38588907,127.3222049
목감고등학교,고등학교,2020-03-01,공립,본교,경기도 시흥시 목감둘레로 150,경기도교육청,경기도시흥교육지원청,37.37222339,126.8571834
남천중학교,중학교,1984-12-29,공립,본교,부산광역시 남구 황령대로492번길 71,부산광역시교육청,부산광역시남부교육지원청,35.13660359,129.1052341
정신여자고등학교,고등학교,1987-10-20,사립,본교,서울특별시 송파구 올림픽로4길 16,서울특별시교육청,서울특별시강동송파교육지원청,37.50945384,127.0738473
문화중학교,중학교,1984-03-08,공립,본교,광주광역시 북구 면앙로 111,광주광역시교육청,광주광역시동부교육지원청,35.17846694,126.9239162
부산영상예술고등학교,고등학교,1955-04-25,공립,본교,부산광역시 영도구 영상길 100,부산광역시교육청,부산광역시서부교육지원청,35.08513613,129.0449175
김화공업고등학교,고등학교,1968-12-03,공립,본교,강원도 철원군 서면 와수1로 72,강원도교육청,강원도철원교육지원청,38.24340756,127.4349464
성복고등학교,고등학교,2011-10-02,공립,본교,경기도 용인시 수지구 도마치로 92,경기도교육청,경기도용인교육지원청,37.32336344,127.0611228
부산센텀여자고등학교,고등학교,2004-03-01,사립,본교,부산광역시 해운대구 해운대로469번길 50-1,부산광역시교육청,부산광역시해운대교육지원청,35.16591884,129.1443578
불로중학교,중학교,1990-12-08,공립,본교,대구광역시 동구 방천로5길 8,대구광역시교육청,대구광역시동부교육지원청,35.89830061,128.6344118
오륜중학교,중학교,1989-04-18,공립,본교,서울특별시 송파구 양재대로 1242,서울특별시교육청,서울특별시강동송파교육지원청,37.51632395,127.1389238
대구범일초등학교,초등학교,1992-07-25,공립,본교,대구광역시 수성구 범안로4길 22,대구광역시교육청,대구광역시동부교육지원청,35.81631646,128.6388284
대구복명초등학교,초등학교,1926-04-10,공립,본교,대구광역시 수성구 범안로20길 8,대구광역시교육청,대구광역시동부교육지원청,35.8176268,128.6472131
안중초등학교,초등학교,1938-04-01,공립,본교,충청남도 태안군 안면읍 율포길 31,충청남도교육청,충청남도태안교육지원청,36.47401169,126.3722967
대전중원초등학교,초등학교,1991-04-06,공립,본교,대전광역시 대덕구 중리로64번길 45,대전광역시교육청,대전광역시동부교육지원청,36.3658142,127.4280277
용아초등학교,초등학교,2020-10-10,공립,본교,충청북도 청주시 상당구 중고개로142번길 32-15,충청북도교육청,충청북도청주교육지원청,36.61822602,127.5219428
광주자동화설비공업고등학교,고등학교,1979-03-08,공립,본교,광주광역시 광산구 사암로92번길 136-26,광주광역시교육청,광주광역시서부교육지원청,35.15002094,126.8140921
부산디지털고등학교,고등학교,1953-09-18,사립,본교,부산광역시 중구 망양로 356,부산광역시교육청,부산광역시서부교육지원청,35.10885429,129.0324467
통리초등학교,초등학교,1959-04-06,공립,본교,강원도 태백시 통골2길 9,강원도교육청,강원도태백교육지원청,37.16673527,129.0354652
서울반포초등학교,초등학교,1974-03-20,공립,본교,서울특별시 서초구 신반포로 55-4,서울특별시교육청,서울특별시강남서초교육지원청,37.50248483,126.9917416
용원중학교,중학교,2009-03-01,공립,본교,경상남도 창원시 진해구 용원로77번길 16,경상남도교육청,경상남도창원교육지원청,35.09965504,128.8179932
울산예술고등학교,고등학교,1993-05-01,사립,본교,울산광역시 울주군 웅촌면 웅촌로 621-6,울산광역시교육청,울산광역시강남교육지원청,35.4818641,129.2162738
신용중학교,중학교,2014-05-01,공립,본교,광주광역시 북구 첨단연신로133번길 32,광주광역시교육청,광주광역시동부교육지원청,35.2107845,126.8609609
강원체육중학교,중학교,2005-03-01,공립,본교,강원도 춘천시 자라우새길 126,강원도교육청,강원도춘천교육지원청,37.85912229,127.694804
봉래중학교,중학교,1982-03-05,공립,본교,강원도 영월군 영월읍 중리1길 172-17,강원도교육청,강원도영월교육지원청,37.18162818,128.4858655
학하초등학교,초등학교,1963-04-20,공립,본교,대전광역시 유성구 진잠옛로 165,대전광역시교육청,대전광역시서부교육지원청,36.33454132,127.3118276
유촌초등학교,초등학교,1998-03-01,공립,본교,광주광역시 서구 내방로 153,광주광역시교육청,광주광역시서부교육지원청,35.15914004,126.8579563
부민초등학교,초등학교,1921-10-15,공립,본교,부산광역시 서구 고운들로 12,부산광역시교육청,부산광역시서부교육지원청,35.10597008,129.0199211
동촌중학교,중학교,1979-01-31,공립,본교,대구광역시 동구 동촌로 176,대구광역시교육청,대구광역시동부교육지원청,35.88241653,128.6596318
북삼초등학교,초등학교,1946-02-07,공립,본교,강원도 동해시 지양길 77,강원도교육청,강원도동해교육지원청,37.49565579,129.1009681
가림중학교,중학교,1991-06-05,공립,본교,경기도 광명시 오리로 616,경기도교육청,경기도광명교육지원청,37.45764308,126.8796742
대구여자고등학교,고등학교,1954-05-28,공립,본교,대구광역시 수성구 달구벌대로488길 17,대구광역시교육청,대구광역시동부교육지원청,35.85650935,128.629864
궁내중학교,중학교,1994-02-28,공립,본교,경기도 군포시 수리산로 171,경기도교육청,경기도군포의왕교육지원청,37.36388636,126.9190776
군포신기초등학교,초등학교,2012-09-19,공립,본교,경기도 군포시 삼성로28번길 3,경기도교육청,경기도군포의왕교육지원청,37.33864487,126.9327812
아산테크노중학교,중학교,2017-05-30,공립,본교,충청남도 아산시 둔포면 아산밸리북로 32,충청남도교육청,충청남도아산교육지원청,36.92648648,127.0518272
인천만수고등학교,고등학교,2009-05-04,공립,본교,인천광역시 남동구 장승로 91,인천광역시교육청,인천광역시동부교육지원청,37.44709898,126.7422697
서울면동초등학교,초등학교,1978-09-01,공립,본교,서울특별시 중랑구 면목로57길 32,서울특별시교육청,서울특별시동부교육지원청,37.58535152,127.0865922
병곡초등학교,초등학교,1932-09-30,공립,본교,경상남도 함양군 병곡면 휴촌길 21,경상남도교육청,경상남도함양교육지원청,35.52900882,127.6902503
별빛중학교,중학교,2016-03-01,공립,본교,경상북도 영천시 고경면 월천길 1-27,경상북도교육청,경상북도영천교육지원청,36.00232912,129.0432455
인천한빛초등학교,초등학교,2012-05-01,공립,본교,인천광역시 남동구 서창남순환로 190-28,인천광역시교육청,인천광역시동부교육지원청,37.42419512,126.7441353
시흥은행초등학교,초등학교,1995-09-01,공립,본교,경기도 시흥시 대은로104번길 29-10,경기도교육청,경기도시흥교육지원청,37.44258628,126.8007227
청해초등학교,초등학교,1941-07-09,공립,본교,전라남도 완도군 완도읍 청해진로 1374,전라남도교육청,전라남도완도교육지원청,34.35941617,126.7278075
조치원교동초등학교,초등학교,1945-10-05,공립,본교,세종특별자치시 조치원읍 새내18길 21,세종특별자치시교육청,세종특별자치시교육청,36.60522794,127.2979422
시흥장현초등학교,초등학교,2003-03-01,공립,본교,경기도 시흥시 시청로80번길 5,경기도교육청,경기도시흥교육지원청,37.38175778,126.7991022
안강초등학교,초등학교,1946-04-15,공립,본교,경상북도 경주시 안강읍 비화원로 34,경상북도교육청,경상북도경주교육지원청,35.99112905,129.2291697
반안초등학교,초등학교,2002-03-01,공립,본교,부산광역시 해운대구 명장로67번길 40-42,부산광역시교육청,부산광역시해운대교육지원청,35.20293351,129.1132302
대구봉무초등학교,초등학교,2013-03-01,공립,본교,대구광역시 동구 팔공로53길 30,대구광역시교육청,대구광역시동부교육지원청,35.92580017,128.6374377
성신고등학교,고등학교,1987-10-16,사립,본교,울산광역시 중구 성신고교길 26,울산광역시교육청,울산광역시강북교육지원청,35.56270656,129.3278415
대구공업고등학교,고등학교,1925-04-01,공립,본교,대구광역시 동구 대현로 135,대구광역시교육청,대구광역시동부교육지원청,35.88321267,128.6141702
대구동촌초등학교,초등학교,1945-11-23,공립,본교,대구광역시 동구 동촌로 168,대구광역시교육청,대구광역시동부교육지원청,35.88202794,128.6589293
대구효동초등학교,초등학교,1990-05-17,공립,본교,대구광역시 동구 효동로 78-7,대구광역시교육청,대구광역시동부교육지원청,35.88412627,128.6447693
제석초등학교,초등학교,2015-05-01,공립,본교,경상남도 통영시 광도면 신죽1길 27,경상남도교육청,경상남도통영교육지원청,34.87573861,128.4165397
송운중학교,중학교,1996-03-01,공립,본교,경기도 시흥시 옥구천동로 433-11,경기도교육청,경기도시흥교육지원청,37.35941067,126.731408
운산초등학교,초등학교,1989-01-20,공립,본교,부산광역시 남구 용호로269번길 89,부산광역시교육청,부산광역시남부교육지원청,35.11020374,129.1152252
경남고등학교,고등학교,1942-04-30,공립,본교,부산광역시 서구 망양로111번길 65,부산광역시교육청,부산광역시서부교육지원청,35.1201981,129.0200404
용호초등학교,초등학교,1964-09-22,공립,본교,부산광역시 남구 용호로42번길 94,부산광역시교육청,부산광역시남부교육지원청,35.1224793,129.108986
동인고등학교,고등학교,1974-01-05,사립,본교,부산광역시 동래구 쇠미로31번길 34,부산광역시교육청,부산광역시동래교육지원청,35.19852193,129.0509969
왕산중학교,중학교,1970-06-09,공립,본교,강원도 강릉시 왕산면 백두대간로 2005,강원도교육청,강원도강릉교육지원청,37.67297147,128.8367696
서울원촌초등학교,초등학교,1979-09-18,공립,본교,서울특별시 서초구 사평대로45길 26,서울특별시교육청,서울특별시강남서초교육지원청,37.50618948,127.0125656
대구태암초등학교,초등학교,1998-11-05,공립,본교,대구광역시 북구 칠곡중앙대로52길 56,대구광역시교육청,대구광역시서부교육지원청,35.92308728,128.5505021
청양중학교,중학교,1931-08-17,공립,본교,충청남도 청양군 청양읍 칠갑산로 179,충청남도교육청,충청남도청양교육지원청,36.45232466,126.79556
신탄진용정초등학교,초등학교,1979-03-01,공립,본교,대전광역시 대덕구 대청로 65,대전광역시교육청,대전광역시동부교육지원청,36.45422272,127.4360305
대구서촌초등학교,초등학교,1942-05-04,공립,본교,대구광역시 동구 파계로 525-11,대구광역시교육청,대구광역시동부교육지원청,35.98040487,128.6317462
복현중학교,중학교,1985-05-20,공립,본교,대구광역시 북구 동북로65길 28,대구광역시교육청,대구광역시서부교육지원청,35.89394102,128.6279506
인천성리초등학교,초등학교,1999-03-01,공립,본교,인천광역시 남동구 성리로 32-2,인천광역시교육청,인천광역시동부교육지원청,37.4457368,126.7099273
중앙중학교,중학교,1908-06-20,사립,본교,서울특별시 종로구 창덕궁길 164,서울특별시교육청,서울특별시중부교육지원청,37.58378822,126.9874726
금천중학교,중학교,1951-11-29,공립,본교,경상북도 청도군 금천면 선암로 574-11,경상북도교육청,경상북도청도교육지원청,35.68807595,128.8947636
성동중학교,중학교,1972-06-03,공립,본교,부산광역시 남구 남동천로 38,부산광역시교육청,부산광역시남부교육지원청,35.13993339,129.0662635
대성중학교,중학교,1951-09-01,사립,본교,충청북도 청주시 흥덕구 사운로 342,충청북도교육청,충청북도청주교육지원청,36.6580328,127.4691294
가재울고등학교,고등학교,2013-05-01,공립,본교,서울특별시 서대문구 수색로 100-35,서울특별시교육청,서울특별시서부교육지원청,37.57444587,126.9094148
모아초등학교,초등학교,1949-12-01,공립,본교,경상북도 경주시 천북면 산업로 4974-5,경상북도교육청,경상북도경주교육지원청,35.9206086,129.2466225
봉은중학교,중학교,1986-04-29,공립,본교,서울특별시 강남구 영동대로128길 59,서울특별시교육청,서울특별시강남서초교육지원청,37.51897667,127.0623894
대전대화초등학교,초등학교,1982-10-18,공립,본교,대전광역시 대덕구 대화로 242-36,대전광역시교육청,대전광역시동부교육지원청,36.36269221,127.4113441
도담고등학교,고등학교,2013-03-01,공립,본교,세종특별자치시 보듬4로 41,세종특별자치시교육청,세종특별자치시교육청,36.51420716,127.2634446
가수원초등학교,초등학교,1946-10-26,공립,본교,대전광역시 서구 벌곡로 1359,대전광역시교육청,대전광역시서부교육지원청,36.30239371,127.3530021
서울중화초등학교,초등학교,1946-11-07,공립,본교,서울특별시 중랑구 신내로7가길 22,서울특별시교육청,서울특별시동부교육지원청,37.60292163,127.094065
금호중앙중학교,중학교,1960-04-15,사립,본교,광주광역시 북구 금호로 100,광주광역시교육청,광주광역시동부교육지원청,35.1785969,126.8855126
월산중학교,중학교,2001-11-05,공립,본교,경상남도 김해시 월산로 104,경상남도교육청,경상남도김해교육지원청,35.20526183,128.8039417
대전하기초등학교,초등학교,2005-03-01,공립,본교,대전광역시 유성구 송림로19번길 32,대전광역시교육청,대전광역시서부교육지원청,36.38863145,127.321529
서울상월초등학교,초등학교,1990-05-29,공립,본교,서울특별시 노원구 동일로221길 27,서울특별시교육청,서울특별시북부교육지원청,37.65865224,127.05698
선유중학교,중학교,1985-05-04,공립,본교,서울특별시 영등포구 선유로 213,서울특별시교육청,서울특별시남부교육지원청,37.53328647,126.8943293
서울중목초등학교,초등학교,1997-11-04,공립,본교,서울특별시 중랑구 동일로 665,서울특별시교육청,서울특별시동부교육지원청,37.59008735,127.0793361
독산고등학교,고등학교,2002-05-04,공립,본교,서울특별시 금천구 문성로 64,서울특별시교육청,서울특별시남부교육지원청,37.47621872,126.9109732
연봉초등학교,초등학교,1946-08-20,공립,본교,세종특별자치시 연서면 당산로 357-1,세종특별자치시교육청,세종특별자치시교육청,36.56445274,127.2820714
연남초등학교,초등학교,1908-04-01,공립,본교,세종특별자치시 연기면 연기길 2,세종특별자치시교육청,세종특별자치시교육청,36.54388083,127.277847
수왕초등학교,초등학교,1970-04-07,공립,본교,세종특별자치시 연기면 눌왕길 8-45,세종특별자치시교육청,세종특별자치시교육청,36.54347359,127.2522374
산이중학교,중학교,1966-12-13,공립,본교,전라남도 해남군 산이면 비석길 98-2,전라남도교육청,전라남도해남교육지원청,34.6457944,126.4478198
광남중학교,중학교,1982-10-02,공립,본교,경기도 광명시 광명로 785,경기도교육청,경기도광명교육지원청,37.47007475,126.8475588
김해임호고등학교,고등학교,2012-04-13,공립,본교,경상남도 김해시 분성로3번길 77,경상남도교육청,경상남도김해교육지원청,35.23826864,128.8527201
상장중학교,중학교,1984-05-15,공립,본교,강원도 태백시 태백로 1221,강원도교육청,강원도태백교육지원청,37.15068611,128.9921217
맹방초등학교,초등학교,1946-12-12,공립,본교,강원도 삼척시 근덕면 삼척로 3884-4,강원도교육청,강원도삼척교육지원청,37.39852676,129.2127768
미로중학교,중학교,1971-04-21,공립,본교,강원도 삼척시 미로면 강원남부로 3907,강원도교육청,강원도삼척교육지원청,37.41041541,129.1038915
서울신구초등학교,초등학교,1981-11-03,공립,본교,서울특별시 강남구 압구정로18길 28,서울특별시교육청,서울특별시강남서초교육지원청,37.52336057,127.0239924
거창초등학교,초등학교,1907-06-01,공립,본교,경상남도 거창군 거창읍 아림로 48,경상남도교육청,경상남도거창교육지원청,35.6875316,127.9100892
동래여자중학교,중학교,1895-10-15,사립,본교,부산광역시 금정구 체육공원로 20,부산광역시교육청,부산광역시동래교육지원청,35.24704234,129.0981972
유안초등학교,초등학교,1991-04-06,공립,본교,광주광역시 남구 봉선로175번길 16,광주광역시교육청,광주광역시서부교육지원청,35.1254854,126.9146862
서울봉화초등학교,초등학교,1996-09-19,공립,본교,서울특별시 중랑구 신내로15길 110,서울특별시교육청,서울특별시동부교육지원청,37.61357623,127.0924085
영신초등학교,초등학교,1965-03-10,사립,본교,대구광역시 동구 팔공로50길 32,대구광역시교육청,대구광역시동부교육지원청,35.92000422,128.646424
서령초등학교,초등학교,1948-09-01,공립,본교,충청남도 서산시 남부순환로 749,충청남도교육청,충청남도서산교육지원청,36.74421665,126.4470036
동아중학교,중학교,1945-11-01,사립,본교,부산광역시 수영구 호암로 55,부산광역시교육청,부산광역시해운대교육지원청,35.15678092,129.106984
단국대학교부속소프트웨어고등학교,고등학교,1950-11-03,사립,본교,서울특별시 강남구 도곡로64길 21,서울특별시교육청,서울특별시강남서초교육지원청,37.49562483,127.0577682
남서울중학교,중학교,1964-11-12,공립,본교,서울특별시 관악구 남부순환로172길 97,서울특별시교육청,서울특별시동작관악교육지원청,37.48213625,126.9210371
부일외국어고등학교,고등학교,1994-09-16,사립,본교,부산광역시 사하구 감천로73번길 36,부산광역시교육청,부산광역시서부교육지원청,35.09073609,129.0025604
율하중학교,중학교,2010-03-01,공립,본교,경상남도 김해시 율하1로 39,경상남도교육청,경상남도김해교육지원청,35.17508098,128.808001
삼성여자고등학교,고등학교,1954-03-05,사립,본교,부산광역시 사하구 감천로43번길 45,부산광역시교육청,부산광역시서부교육지원청,35.09422497,128.9982328
좌삼초등학교,초등학교,1946-09-20,공립,본교,경상남도 양산시 상북면 수서로 275-16,경상남도교육청,경상남도양산교육지원청,35.44102579,129.0434678
영산중학교,중학교,1951-06-25,공립,본교,경상남도 창녕군 영산면 영산계성로 87,경상남도교육청,경상남도창녕교육지원청,35.4601691,128.5242737
유어초등학교,초등학교,1926-10-01,공립,본교,경상남도 창녕군 유어면 마수원길 39,경상남도교육청,경상남도창녕교육지원청,35.50944637,128.4110124
서울동작초등학교,초등학교,1983-04-06,공립,본교,서울특별시 동작구 동작대로29길 214,서울특별시교육청,서울특별시동작관악교육지원청,37.49410161,126.9765088
서울문영여자고등학교,고등학교,1991-11-07,사립,본교,서울특별시 관악구 관악로 85,서울특별시교육청,서울특별시동작관악교육지원청,37.47290457,126.9509181
서울갈산초등학교,초등학교,1987-11-26,공립,본교,서울특별시 양천구 목동로 31,서울특별시교육청,서울특별시강서양천교육지원청,37.51237156,126.8702299
서울태랑초등학교,초등학교,2001-10-21,공립,본교,서울특별시 노원구 화랑로51나길 31,서울특별시교육청,서울특별시북부교육지원청,37.62625056,127.0906031
서울한천초등학교,초등학교,1984-05-07,공립,본교,서울특별시 노원구 마들로 45,서울특별시교육청,서울특별시북부교육지원청,37.62070936,127.0692435
괴정초등학교,초등학교,1970-03-01,공립,본교,부산광역시 사하구 낙동대로 152,부산광역시교육청,부산광역시서부교육지원청,35.10376396,128.9997579
대전관저초등학교,초등학교,1997-10-02,공립,본교,대전광역시 서구 관저동로 161,대전광역시교육청,대전광역시서부교육지원청,36.30655924,127.3399115
대구국우초등학교,초등학교,2022-03-01,공립,본교,대구광역시 북구 도남중앙로10길 45,대구광역시교육청,대구광역시서부교육지원청,35.95594145,128.5856286
무안초등학교,초등학교,1921-04-01,공립,본교,경상남도 밀양시 무안면 사명로 531,경상남도교육청,경상남도밀양교육지원청,35.4729283,128.651293
영신고등학교,고등학교,1946-10-17,사립,본교,대구광역시 동구 팔공로50길 32,대구광역시교육청,대구광역시동부교육지원청,35.92000422,128.646424
방산중학교,중학교,1991-05-06,공립,본교,서울특별시 송파구 오금로29길 31,서울특별시교육청,서울특별시강동송파교육지원청,37.50937287,127.1218756
하동중앙중학교,중학교,1961-05-01,공립,본교,경상남도 하동군 하동읍 연화길 77,경상남도교육청,경상남도하동교육지원청,35.07664446,127.7495276
신탄진초등학교,초등학교,1919-05-20,공립,본교,대전광역시 대덕구 석봉로3번길 50,대전광역시교육청,대전광역시동부교육지원청,36.44898499,127.4225035
서울영림초등학교,초등학교,1982-10-04,공립,본교,서울특별시 영등포구 시흥대로173길 14,서울특별시교육청,서울특별시남부교육지원청,37.48734601,126.9025393
서천초등학교,초등학교,1985-03-01,공립,본교,부산광역시 사하구 감천로105번길 10,부산광역시교육청,부산광역시서부교육지원청,35.08874156,129.0038498
대구관천초등학교,초등학교,1993-09-01,공립,본교,대구광역시 북구 구암로22길 17,대구광역시교육청,대구광역시서부교육지원청,35.93053458,128.5520401
산내초등학교,초등학교,1920-06-20,공립,본교,대전광역시 동구 산내로 1292,대전광역시교육청,대전광역시동부교육지원청,36.27979819,127.470066
서울평화초등학교,초등학교,1992-10-21,공립,본교,서울특별시 송파구 송파대로26길 22,서울특별시교육청,서울특별시강동송파교육지원청,37.49156712,127.1228237
대전성남초등학교,초등학교,1952-04-15,공립,본교,대전광역시 동구 성남로32번길 5,대전광역시교육청,대전광역시동부교육지원청,36.34394433,127.4293687
방산고등학교,고등학교,2003-09-30,공립,본교,서울특별시 송파구 오금로27길 18,서울특별시교육청,서울특별시강동송파교육지원청,37.50831315,127.1204696
세륜중학교,중학교,1992-04-22,공립,본교,서울특별시 송파구 양재대로72길 41,서울특별시교육청,서울특별시강동송파교육지원청,37.50893314,127.1312464
진남초등학교,초등학교,2007-11-26,공립,본교,광주광역시 남구 효우로60번길 12,광주광역시교육청,광주광역시서부교육지원청,35.10912722,126.9024721
관동중학교,중학교,2004-03-01,공립,본교,경상남도 김해시 덕정로 77,경상남도교육청,경상남도김해교육지원청,35.17976521,128.7926333
영양여자고등학교,고등학교,1974-01-05,사립,본교,경상북도 영양군 영양읍 영양창수로 141,경상북도교육청,경상북도영양교육지원청,36.66188808,129.1297626
의귀초등학교,초등학교,1959-02-20,공립,본교,제주특별자치도 서귀포시 남원읍 한신로 213,제주특별자치도교육청,제주특별자치도서귀포시교육지원청,33.31111895,126.714628
거제장평중학교,중학교,2013-05-01,공립,본교,경상남도 거제시 장평4로 40,경상남도교육청,경상남도거제교육지원청,34.88608569,128.6064665
연무여자중학교,중학교,1970-04-10,사립,본교,충청남도 논산시 연무읍 동안로887번길 5,충청남도교육청,충청남도논산계룡교육지원청,36.13536466,127.1046328
기장초등학교,초등학교,1911-07-01,공립,본교,부산광역시 기장군 기장읍 읍내로 69,부산광역시교육청,부산광역시해운대교육지원청,35.24577217,129.2127656
성일여자고등학교,고등학교,1986-05-01,사립,본교,부산광역시 사하구 다대로 161,부산광역시교육청,부산광역시서부교육지원청,35.08949951,128.9800626
칠산초등학교,초등학교,1945-05-30,공립,본교,경상남도 김해시 칠산로 413번길 16-2,경상남도교육청,경상남도김해교육지원청,35.21001649,128.8515415
북상초등학교,초등학교,1928-07-01,공립,본교,경상남도 거창군 북상면 송계로 731-18,경상남도교육청,경상남도거창교육지원청,35.78009585,127.8170386
대영고등학교,고등학교,1987-12-15,공립,본교,서울특별시 영등포구 도림로86길 16,서울특별시교육청,서울특별시남부교육지원청,37.50366109,126.9058657
대구아양초등학교,초등학교,1958-04-07,공립,본교,대구광역시 동구 아양로 221,대구광역시교육청,대구광역시동부교육지원청,35.88746268,128.6374338
가수원중학교,중학교,1988-03-05,공립,본교,대전광역시 서구 가수원로 26,대전광역시교육청,대전광역시서부교육지원청,36.29847211,127.354558
동원중학교,중학교,1984-12-18,공립,본교,대구광역시 수성구 효행로2길 81,대구광역시교육청,대구광역시동부교육지원청,35.87585642,128.6510708
서울양동초등학교,초등학교,1972-08-11,공립,본교,서울특별시 양천구 오목로23길 24,서울특별시교육청,서울특별시강서양천교육지원청,37.52584826,126.8512402
한국과학영재학교,고등학교,1991-03-04,국립,본교,부산광역시 부산진구 백양관문로 105-47,부산광역시교육청,부산광역시남부교육지원청,35.16520011,129.0257844
대구남산고등학교,고등학교,1944-04-30,사립,본교,대구광역시 수성구 신천동로 364,대구광역시교육청,대구광역시동부교육지원청,35.85731247,128.6091788
고헌중학교,중학교,2020-03-01,공립,본교,울산광역시 북구 박상진2로 81,울산광역시교육청,울산광역시강북교육지원청,35.59777915,129.364027
서감초등학교,초등학교,1984-03-30,공립,본교,부산광역시 사상구 괘감로 64,부산광역시교육청,부산광역시북부교육지원청,35.15782029,128.9820602
울산중앙중학교,중학교,1981-09-27,공립,본교,울산광역시 남구 중앙로63번길 5,울산광역시교육청,울산광역시강남교육지원청,35.5260243,129.3156805
수완하나중학교,중학교,2015-03-01,공립,본교,광주광역시 광산구 수완로105번길 47,광주광역시교육청,광주광역시서부교육지원청,35.19420808,126.8275242
경운중학교,중학교,2001-01-04,공립,본교,경상남도 김해시 우암로 62,경상남도교육청,경상남도김해교육지원청,35.23612594,128.8618342
무거고등학교,고등학교,2006-03-01,공립,본교,울산광역시 남구 대학로1번길 17-28,울산광역시교육청,울산광역시강남교육지원청,35.53627893,129.2507423
거제초등학교,초등학교,1946-06-01,공립,본교,부산광역시 연제구 해맞이로 39,부산광역시교육청,부산광역시동래교육지원청,35.17807396,129.0675717
성서중학교,중학교,1969-11-07,공립,본교,대구광역시 달서구 용산서로 63,대구광역시교육청,대구광역시남부교육지원청,35.8558081,128.5266048
서울상봉초등학교,초등학교,1983-10-25,공립,본교,서울특별시 중랑구 동일로126가길 11,서울특별시교육청,서울특별시동부교육지원청,37.59797895,127.0831714
서울원광초등학교,초등학교,1992-07-01,공립,본교,서울특별시 노원구 덕릉로76길 18,서울특별시교육청,서울특별시북부교육지원청,37.65431092,127.0749142
서울월계초등학교,초등학교,1993-05-06,공립,본교,서울특별시 노원구 월계로45가길 10,서울특별시교육청,서울특별시북부교육지원청,37.62762424,127.0501876
우신고등학교,고등학교,1974-05-23,사립,본교,서울특별시 구로구 부일로 917,서울특별시교육청,서울특별시남부교육지원청,37.49490231,126.8263536
주천고등학교,고등학교,1945-09-16,공립,본교,강원도 영월군 주천면 주천로89번길 41,강원도교육청,강원도영월교육지원청,37.27355179,128.2650794
대전신계초등학교,초등학교,2005-09-01,공립,본교,대전광역시 서구 복수동로 26,대전광역시교육청,대전광역시서부교육지원청,36.30195202,127.3780278
강경상업고등학교,고등학교,1920-05-25,공립,본교,충청남도 논산시 강경읍 계백로 220,충청남도교육청,충청남도논산계룡교육지원청,36.16142445,127.023298
근덕초등학교,초등학교,1922-05-17,공립,본교,강원도 삼척시 근덕면 삼척로 3653,강원도교육청,강원도삼척교육지원청,37.38092428,129.2244956
송해초등학교,초등학교,1933-10-06,공립,본교,인천광역시 강화군 송해면 전망대로 93-12,인천광역시교육청,인천광역시강화교육지원청,37.7694551,126.4610541
광명남초등학교,초등학교,1974-08-05,공립,본교,경기도 광명시 광명로 866-9,경기도교육청,경기도광명교육지원청,37.47512708,126.8537024
광명동초등학교,초등학교,1983-05-18,공립,본교,경기도 광명시 연서일로 25,경기도교육청,경기도광명교육지원청,37.48395181,126.8633963
청학초등학교,초등학교,1954-06-20,공립,본교,부산광역시 영도구 청학로 49,부산광역시교육청,부산광역시서부교육지원청,35.09320176,129.0595039
중일고등학교,고등학교,1988-03-15,사립,본교,대전광역시 유성구 배울2로 68,대전광역시교육청,대전광역시서부교육지원청,36.42052491,127.3886965
영신중학교,중학교,1946-10-17,사립,본교,대구광역시 동구 팔공로50길 32,대구광역시교육청,대구광역시동부교육지원청,35.92000422,128.646424
부일전자디자인고등학교,고등학교,1992-06-30,사립,본교,부산광역시 사하구 감천로73번길 36,부산광역시교육청,부산광역시서부교육지원청,35.09073609,129.0025604
서울영상고등학교,고등학교,1961-12-08,사립,본교,서울특별시 양천구 목동로11길 46,서울특별시교육청,서울특별시강서양천교육지원청,37.52330444,126.8602935
대전교촌초등학교,초등학교,2007-03-01,공립,본교,대전광역시 유성구 진잠로149번길 42,대전광역시교육청,대전광역시서부교육지원청,36.30602189,127.3167705
김해중학교,중학교,1951-09-01,공립,본교,경상남도 김해시 호계로 456,경상남도교육청,경상남도김해교육지원청,35.23110531,128.8861356
신명여자중학교,중학교,1907-10-15,사립,본교,대구광역시 수성구 신천동로 364,대구광역시교육청,대구광역시동부교육지원청,35.85731247,128.6091788
대구명덕초등학교,초등학교,1940-04-05,공립,본교,대구광역시 중구 남산로2길 125,대구광역시교육청,대구광역시동부교육지원청,35.85754073,128.5890267
광명고등학교,고등학교,1974-11-29,공립,본교,경기도 광명시 오리로876번길 17,경기도교육청,경기도광명교육지원청,37.47857117,126.8659896
신광중학교,중학교,1981-03-06,공립,본교,광주광역시 북구 면앙로165번길 80,광주광역시교육청,광주광역시동부교육지원청,35.17953334,126.9321202
양구여자고등학교,고등학교,1974-10-04,공립,본교,강원도 양구군 양구읍 박수근로 327,강원도교육청,강원도양구교육지원청,38.1009114,127.9808197
정신여자중학교,중학교,1887-10-20,사립,본교,서울특별시 송파구 올림픽로4길 16,서울특별시교육청,서울특별시강동송파교육지원청,37.50945384,127.0738473
